'OeLin.OrderNo','OeLin.LineItemType','OeLin.RowNum','OeLin.ItemNumber','OeLin.Description','IOS.SellQtyRemain','IOS.SellUnitPrice','Total.RemainingNetWDiscWTax'
'13921','0',97,'.023144','BEARING DX  1 1/2 ID X 1 LG',2.00000,7.57000,15.14000
'13921','0',96,'.026108','BEARING',8.00000,51.65000,413.20000
'13921','0',95,'.066945','BOOM REST CUSHION 1/2 X 3 NYLON X 9 1/2',1.00000,182.35000,182.35000
'13932','0',3,'.651965','OIL FILTER ISUZU 3CD-1 ENGINE',1.00000,37.12000,37.12000
'13932','0',4,'.063339','FILTER ELEMENT PRESSURE 3 MICRON',1.00000,164.32000,164.32000
'13932','0',2,'.651967','FUEL FILTER ISUZU 3CD-1 ENGINE',1.00000,58.85000,58.85000
'13932','0',1,'.650971','AIR FILTER 3LD1 3CD-1',1.00000,51.05000,51.05000
'13932','0',5,'.095664','FILTER ELEMENT 6 MICRON ABSOLUTE',1.00000,140.00000,140.00000
'13932','0',10,'FREIGHT','NON-TAXABLE FREIGHT',1.00000,0.00000,0.00000
'13938','0',5,'FREIGHT','NON-TAXABLE FREIGHT',1.00000,0.00000,0.00000
'13938','0',4,'.100623','WELDMENT ADJ CAB STAND FRC INTERCOM B32',1.00000,1257.68000,1348.86000
'13938','0',3,'.097453','COVER CANVAS FRC INTERCOM T1',2.00000,136.61000,293.03000
